,County,Location
0,,"New York City, New York"
1, Madison County,"Alton, Illinois"
2, Rutherford County,"Union Mills, North Carolina"
3,,"New York City, New York"
4,,"St. Louis, Missouri"
5,,"New York City, New York"
6,,"New York City, New York"
7,,"Chicago, Illinois"
8,,"Newton, Massachusetts"
9,,"Chapel Hill, North Carolina"
10, Delaware County,"Swarthmore, Pennsylvania"
11,,"Seat Pleasant, Maryland"
12,,"New York City, New York"
13,,"New York City, New York"
14,,"New York City, New York"
15,,"Massapequa, New York"
16,,"New York City, New York"
17, Blackford County,"Hartford City, Indiana"
18, Jim Wells County,"Alice, Texas"
19,,"Blaine, Minnesota"
20,,"Delmont, South Dakota"
21,,"Denver, Colorado"
22,,"Bay Shore, New York"
23,,"Austin, Texas"
24, Itasca County,"Grand Rapids, Minnesota"
25,,"Mesa, Arizona"
26, Cook County,"Northlake, Illinois"
27,,"Miami, Florida"
28, Orangeburg County,"Orangeburg, South Carolina"
29,,"High Point, North Carolina"
30,,"Miami, Florida"
31,,"Los Angeles, California"
32,,"Washington, D.C."
33,,"Winston-Salem, North Carolina"
34, Monroe County,"Tomah, Wisconsin"
35,,Location
36,,"Washington, D.C."
37,,"Philadelphia, Pennsylvania"
38,,"Kent, Ohio"
39, Hinds County,"Jackson, Mississippi"
40,,"Chicago, Illinois"
41,,"Philadelphia, Pennsylvania"
42,,"Spokane, Washington"
43, Richmond City,"Richmond, Virginia"
44,,"Oakland, California"
45,,"Chicago, Illinois"
46, Jackson County,"Brownstown, Indiana"
47,,"Kent, Ohio"
48, Cattaraugus County,"Olean, New York"
49,,"Penns Grove, New Jersey"
50,,"St. Louis, Missouri"
51,,"Oklahoma City, Oklahoma"
52,,"Detroit, Michigan"
53,,"Fullerton, California"
54,,"Detroit, Michigan"
55, Hockley County,"Whitharral, Texas"
56,,"Hopkinsville, Kentucky"
57, Kanawha County,"St. Albans, West Virginia"
58,,"Lansing, Michigan"
59,,"Dallas, Texas"
60,,"Austin, Texas"
61,,"University City, Missouri"
62, Chambers County,"Lanett, Alabama"
63,,"San Diego, California"
64,,"Milwaukee, Wisconsin"
65,,"Charlestown, Massachusetts"
66,,Location
67, Lafayette County,"Stamps, Arkansas"
68,,"Dallas, Texas"
69, Mecosta County,"Big Rapids, Michigan"
70,,"Hueytown, Alabama"
71,,"Fayetteville, Arkansas"
72,,"Ann Arbor, Michigan"
73,,"Portland, Oregon"
74,,"Las Vegas, Nevada"
75, Arapahoe County,"Littleton, Colorado"
76, Hinds County,"Jackson, Mississippi"
77,,"St. Louis County, Missouri"
78,,"Los Angeles, California"
79,,"Detroit, Michigan"
80, Polk County,"Pleasant Hill, Iowa"
81,,"Celina, Ohio"
82, Sedgwick County,"Goddard, Kansas"
83,,"Detroit, Michigan"
84,,"Spanaway, Washington"
85,,"Concord, New Hampshire"
86, Middlesex County,"Portland, Connecticut"
87, Cook County,"Dolton, Illinois"
88, Dunklin County,"Senath, Missouri"
89,,"Fayetteville, North Carolina"
90,,"Cokeville, Wyoming"
91, Fergus County,"Lewistown, Montana"
92, LA,"Northridge, California"
93,,"De Kalb, Missouri"
94,,"Detroit, Michigan"
95, Cook County,"Lansing, Illinois"
96,,"Katy, Texas"
97,,"Largo, Florida"
98, Cook County,"Winnetka, Illinois"
99,,"Milwaukee, Wisconsin"
100,,"Greenwood, South Carolina"
101,,"Abilene, Texas"
102,,"Virginia Beach, Virginia"
103,,"Stockton, California"
104,,"Kearns, Utah"
105,,"McKeesport, Pennsylvania"
106, Cattaraugus County,"Brooklyn, New York"
107,,"San Antonio, Texas"
108, Hidalgo County,"Donna, Texas"
109,,"Compton, California"
110, Harris County,"Crosby, Texas"
111,,"Iowa City, Iowa"
112, Cattaraugus County,"Brooklyn, New York"
113,,"Kent, Ohio"
114,,"Kent, Ohio"
115, Cattaraugus County,"Brooklyn, New York"
116, Yuba County,"Olivehurst, California"
117,,"The Bronx, New York"
118,,"Detroit, Michigan"
119, Suffolk County,"Brentwood, New York"
120,,"Grayson, Kentucky"
121,,"Los Angeles, California"
122, Bristol County,"Acushnet, Massachusetts"
123,,"Irving, Texas"
124,,"Pennsburg, Pennsylvania"
125, Sheridan County,"Sheridan, Wyoming"
126,,"New Britain, Connecticut"
127,,"Wauwatosa, Wisconsin"
128,,"Columbia, South Carolina"
129,,"Seattle, Washington"
130,,"Spartanburg, South Carolina"
131,,"Boonville, Missouri"
132,,"Butte, Montana"
133,,"Nashville, Tennessee"
134,,"Greensboro, North Carolina"
135,,"Chicago, Illinois"
136, Lake County,"Wickliffe, Ohio"
137,,"Albany, New York"
138,,"Seattle, Washington"
139,,"Tavares, Florida"
140, Barnwell County,"Blackville, South Carolina"
141,,"Lynnville, Tennessee"
142,,"Washington, D.C."
143, Grant County,"Moses Lake, Washington"
144,,"St. Louis, Missouri"
145,,"San Diego, California"
146,,"State College, Pennsylvania"
147,,"Decatur, Georgia"
148, Pulaski County,"Sherwood, Arkansas"
149,,"West Palm Beach, Florida"
150,,"Bethel, Alaska"
151, Rankin County,"Pearl, Mississippi"
152, Manatee County,"Palmetto, Florida"
153, McCracken County,"West Paducah, Kentucky"
154, Lafayette County,"Stamps, Arkansas"
155,,"Philadelphia, Pennsylvania"
156,,"Craighead County, Arkansas"
157,,"Edinboro, Pennsylvania"
158, Lincoln County,"Fayetteville, Tennessee"
159, Lane County,"Springfield, Oregon"
160, Richmond City,"Richmond, Virginia"
